nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"Ta Wan, Grand Metropolitan",Chinese,Bekasi Selatan,50rb - 100rb,4.7,,https://gofood.link/u/wrZ5e,0,,
"Re.juve., Grand Metropolitan Mall Bekasi","Minuman, Sweets, Jajanan, Kopi",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/OrVL,0,,
"Imperial Kitchen & Dimsum, Grand Metropolitan","Chinese, Aneka nasi, Ayam & bebek",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/M9pj,0,https://api.jajanbekasi.web.id/foto/Imperial_Kitchen_Dimsum_Grand_Metropolitan.jpg,gofood_og
"D'COST, Grand Metropolitan Bekasi",Seafood,Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/1zNKZ,0,,
"Majestyk Bakery & Cake Shop, Bekasi","Roti, Sweets, Jajanan",Bekasi Barat,25rb - 50rb,4.3,,https://gofood.link/u/O2Y2g,0,,
"Raa Cha Suki & BBQ, Grand Metropolitan","Jepang, Aneka nasi, Cepat saji, Thailand",Bekasi Selatan,>100rb,4.6,,https://gofood.link/u/3NlA4,0,,
"Coffee Bean & Tea Leaf, Grand Metropolitan Mall","Minuman, Kopi, Roti, Barat",Bekasi Selatan,50rb - 100rb,4.3,,https://gofood.link/u/JVQ7R,0,,
"Baskin Robbins, Grand Metropolitan Mall",Sweets,Bekasi Selatan,>100rb,4.7,,https://gofood.link/u/qDp2a,0,,
"Steak 21, Grand Metropolitan",Barat,Bekasi Selatan,>100rb,4.7,,https://gofood.link/u/B34O,0,,
"Solaria, Grand Metropolitan Bekasi Lt.2 21-22T21-22GM","Aneka nasi, Chinese",Bekasi Selatan,50rb - 100rb,4.7,,https://gofood.link/u/7Lddb,0,,
"Chatime, Grand Metropolitan Bekasi","Minuman, Kopi, Sweets",Bekasi Selatan,25rb - 50rb,4.8,,https://gofood.link/u/1bn3,0,https://api.jajanbekasi.web.id/foto/Chatime_Grand_Metropolitan_Bekasi.jpg,gofood_og
"Excelso Coffee, Grand Metropolitan Mall","Kopi, Jajanan, Sweets, Minuman",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/rqWy0,0,,
"Pepper Lunch, Grand Metropolitan Mall","Barat, Jepang, Aneka nasi, Ayam & bebek",Bekasi Selatan,50rb - 100rb,4.9, ,https://gofood.link/a/yM9Py1h,0,https://api.jajanbekasi.web.id/foto/05_Pepper_Lunch_Grand_Metropolitan_Mall.jpg,cached
"Eastern Kopi TM, Grand Metropolitan Mall","Sweets, Jajanan, Kopi",Bekasi Selatan,50rb - 100rb,4.6,,https://gofood.link/u/y1nq5,0,,
"Top Durian Andremike, Tytyan Indah Utama","Sweets, Jajanan, Minuman",Medan Satria,50rb - 100rb,4.3,,https://gofood.link/u/8yRal,0,,
"Dimas Bebek Lembut Tik-Tok, Bekasi Jaya, Bekasi Timur","Ayam & bebek, Aneka nasi, Seafood",Bekasi Timur,25rb - 50rb,4.8,,https://gofood.link/u/POyNy,0,https://api.jajanbekasi.web.id/foto/Dimas_Bebek_Lembut_Tik-Tok_Bekasi_Jaya_Bekasi_Timur.jpg,gofood_og
"Sate Solo Pak Min, Kranji","Bakso & soto, Sate",Bekasi Barat,50rb - 100rb,4.8,,https://gofood.link/u/Nb3pD,0,https://api.jajanbekasi.web.id/foto/Sate_Solo_Pak_Min_Kranji.jpg,gofood_og
"Pempek Palembang Gaby, Stasiun Kranji",Jajanan,Medan Satria,10rb - 25rb,4.7,,https://gofood.link/u/vj8en,0,,
"Nasi Goreng Kambing NGK, Galaxy","Aneka nasi, Timur Tengah, Ayam & bebek",Bekasi Barat,25rb - 50rb,4.6,,https://gofood.link/u/J02Lv,0,,
"CFC, Revotown","Cepat saji, Aneka nasi, Ayam & bebek",Bekasi Selatan,50rb - 100rb,4.8,,https://gofood.link/u/PVA78,0,,
"Dapoer Yuk Liem, Revo Town","Jajanan, Aneka nasi",Bekasi Selatan,25rb - 50rb,0.0,,https://gofood.link/u/yRGO,0,,
